ID	CHR	START	STOP	SYM	TYPE
TNFRSF25	1	6461993	6465630	ENSG00000215788	protein_coding
PLEKHG5	1	6467824	6520061	ENSG00000171680	protein_coding
NOL9	1	6521346	6554535	ENSG00000162408	protein_coding
TAS1R1	1	6555180	6579757	ENSG00000173662	protein_coding
ZBTB48	1	6580000	6589280	ENSG00000204859	protein_coding
KLHL21	1	6590723	6614607	ENSG00000162413	protein_coding
PHF13	1	6613684	6624033	ENSG00000116273	protein_coding
THAP3	1	6624865	6633565	ENSG00000041988	protein_coding
DNAJC11	1	6636116	6701924	ENSG00000007923	protein_coding
ENO1	1	8861001	8879249	ENSG00000074800	protein_coding
ENO1-AS1	1	8878834	8879894	ENSG00000230679	antisense
CA6	1	8945866	8975092	ENSG00000131686	protein_coding
SLC2A7	1	9003299	9026345	ENSG00000197241	protein_coding
GPR157	1	9100304	9129170	ENSG00000180758	protein_coding
MIR34A	1	9151667	9151777	ENSG00000207865	miRNA
SLC25A33	1	9539481	9585179	ENSG00000171612	protein_coding
TMEM201	1	9588873	9614877	ENSG00000188807	protein_coding
PIK3CD	1	9651731	9724936	ENSG00000171608	protein_coding
CLSTN1	1	9731121	9824526	ENSG00000171603	protein_coding
CTNNBIP1	1	9848275	9910336	ENSG00000178585	protein_coding
LZIC	1	9922114	9943407	ENSG00000162441	protein_coding
NMNAT1	1	9943427	9985501	ENSG00000173614	protein_coding
RBP7	1	9997205	10016020	ENSG00000162444	protein_coding
UBE4B	1	10032831	10181239	ENSG00000130939	protein_coding
KIF1B	1	10210804	10381603	ENSG00000054523	protein_coding
PGD	1	10398591	10420144	ENSG00000142657	protein_coding
CORT	1	10449718	10450322	ENSG00000241563	protein_coding
DFFA	1	10456521	10472526	ENSG00000160049	protein_coding
PEX14	1	10474886	10630758	ENSG00000142655	protein_coding
CASZ1	1	10636603	10796650	ENSG00000130940	protein_coding
C1orf127	1	10946472	10982037	ENSG00000175262	protein_coding
TARDBP	1	11012356	11025739	ENSG00000120948	protein_coding
MASP2	1	11026522	11047233	ENSG00000009724	protein_coding
SRM	1	11054588	11060024	ENSG00000116649	protein_coding
EXOSC10	1	11066617	11099881	ENSG00000171824	protein_coding
MTOR	1	11106534	11262507	ENSG00000198793	protein_coding
MTOR-AS1	1	11143897	11149537	ENSG00000225602	antisense
ANGPTL7	1	11189340	11195981	ENSG00000171819	protein_coding
UBIAD1	1	11273205	11296049	ENSG00000120942	protein_coding
PTCHD2	1	11479165	11537584	ENSG00000204624	protein_coding
FBXO2	1	11648366	11653529	ENSG00000116661	protein_coding
FBXO44	1	11654856	11663327	ENSG00000132879	protein_coding
FBXO6	1	11664123	11674354	ENSG00000116663	protein_coding
MAD2L2	1	11674479	11691650	ENSG00000116670	protein_coding
DRAXIN	1	11691728	11725857	ENSG00000162490	protein_coding
AGTRAP	1	11736083	11754802	ENSG00000177674	protein_coding
MIIP	1	12019465	12032045	ENSG00000116691	protein_coding
DHRS3	1	12567909	12617731	ENSG00000162496	protein_coding
AADACL4	1	12644546	12667086	ENSG00000204518	protein_coding
AADACL3	1	12716114	12728759	ENSG00000188984	protein_coding
PRAMEF12	1	12774840	12777906	ENSG00000116726	protein_coding
HNRNPCL1	1	12847407	12848725	ENSG00000179172	protein_coding
PRAMEF2	1	12857085	12861909	ENSG00000120952	protein_coding
PRAMEF4	1	12879223	12886201	ENSG00000243073	protein_coding
PRDM2	1	13700197	13825079	ENSG00000116731	protein_coding
CLCNKB	1	16043776	16057308	ENSG00000184908	protein_coding
FAM131C	1	16057768	16073632	ENSG00000185519	protein_coding
ARHGEF19	1	16197853	16212609	ENSG00000142632	protein_coding
RSG1	1	16231699	16237162	ENSG00000132881	protein_coding
SZRD1	1	16352574	16393482	ENSG00000055070	protein_coding
SPATA21	1	16398642	16437424	ENSG00000187144	protein_coding
NECAP2	1	16440671	16460078	ENSG00000157191	protein_coding
CROCCP3	1	16467435	16499257	ENSG00000080947	transcribed_unprocessed_pseudogene
NBPF1	1	16562318	16613562	ENSG00000219481	protein_coding
CROCCP2	1	16618255	16634559	ENSG00000215908	transcribed_unprocessed_pseudogene
MST1P2	1	16645573	16650419	ENSG00000186301	unprocessed_pseudogene
ESPNP	1	16687338	16720157	ENSG00000268869	transcribed_unprocessed_pseudogene
CROCC	1	16740272	16972979	ENSG00000058453	protein_coding
MST1L	1	16754909	16770237	ENSG00000186715	transcribed_unprocessed_pseudogene
MFAP2	1	16974501	16980835	ENSG00000117122	protein_coding
ATP13A2	1	16985957	17011928	ENSG00000159363	protein_coding
SDHB	1	17018721	17054170	ENSG00000117118	protein_coding
PADI2	1	17066760	17119453	ENSG00000117115	protein_coding
PADI1	1	17205125	17246005	ENSG00000142623	protein_coding
PADI3	1	17249097	17284233	ENSG00000142619	protein_coding
PADI4	1	17308194	17364004	ENSG00000159339	protein_coding
RCC2	1	17406759	17439724	ENSG00000179051	protein_coding
NBPF3	1	21440127	21485005	ENSG00000142794	protein_coding
ALPL	1	21509364	21578412	ENSG00000162551	protein_coding
RAP1GAP	1	21596214	21669308	ENSG00000076864	protein_coding
USP48	1	21678297	21783606	ENSG00000090686	protein_coding
LDLRAD2	1	21812264	21821611	ENSG00000187942	protein_coding
HSPG2	1	21827862	21937297	ENSG00000142798	protein_coding
HTR1D	1	23190499	23194729	ENSG00000179546	protein_coding
HNRNPR	1	23303770	23344336	ENSG00000125944	protein_coding
ZNF436	1	23359447	23368386	ENSG00000125945	protein_coding
TCEA3	1	23381060	23424740	ENSG00000204219	protein_coding
ASAP3	1	23428562	23484568	ENSG00000088280	protein_coding
E2F2	1	23506429	23531220	ENSG00000007968	protein_coding
ID3	1	23557917	23559794	ENSG00000117318	protein_coding
MDS2	1	23581494	23640568	ENSG00000197880	protein_coding
RPL11	1	23691778	23696425	ENSG00000142676	protein_coding
TCEB3	1	23743154	23762059	ENSG00000011007	protein_coding
PITHD1	1	23778404	23788232	ENSG00000057757	protein_coding
LYPLA2	1	23790969	23795539	ENSG00000011009	protein_coding
GALE	1	23795598	23800781	ENSG00000117308	protein_coding
HMGCL	1	23801884	23838620	ENSG00000117305	protein_coding
FUCA1	1	23845076	23868294	ENSG00000179163	protein_coding
CNR2	1	23870525	23959059	ENSG00000188822	protein_coding
MIR378F	1	23929069	23929147	ENSG00000264926	miRNA
PNRC2	1	23959108	23963462	ENSG00000189266	protein_coding
SRSF10	1	23964803	23980927	ENSG00000188529	protein_coding
SYF2	1	25222678	25232502	ENSG00000117614	protein_coding
RSRP1	1	25242236	25336265	ENSG00000117616	protein_coding
RHD	1	25272392	25330445	ENSG00000187010	protein_coding
TMEM50A	1	25338459	25356853	ENSG00000183726	protein_coding
RHCE	1	25370466	25430192	ENSG00000188672	protein_coding
TMEM57	1	25430896	25500209	ENSG00000204178	protein_coding
LDLRAP1	1	25543579	25568886	ENSG00000157978	protein_coding
MAN1C1	1	25617467	25786207	ENSG00000117643	protein_coding
SEPN1	1	25800175	25818222	ENSG00000162430	protein_coding
MTFR1L	1	25823237	25829831	ENSG00000117640	protein_coding
AUNIP	1	25834005	25859412	ENSG00000127423	protein_coding
PAQR7	1	25861209	25871253	ENSG00000182749	protein_coding
STMN1	1	25884180	25906991	ENSG00000117632	protein_coding
MIR3917	1	25906361	25906454	ENSG00000264021	miRNA
PAFAH2	1	25959766	25998157	ENSG00000158006	protein_coding
EXTL1	1	26019883	26036464	ENSG00000158008	protein_coding
SLC30A2	1	26037251	26046133	ENSG00000158014	protein_coding
TRIM63	1	26051303	26068436	ENSG00000158022	protein_coding
PDIK1L	1	26111172	26125543	ENSG00000175087	protein_coding
FAM110D	1	26159019	26162628	ENSG00000197245	protein_coding
ZNF593	1	26169870	26172060	ENSG00000142684	protein_coding
CNKSR1	1	26177402	26189886	ENSG00000142675	protein_coding
CATSPER4	1	26190560	26202968	ENSG00000188782	protein_coding
CEP85	1	26234199	26278808	ENSG00000130695	protein_coding
SH3BGRL3	1	26279175	26280203	ENSG00000142669	protein_coding
UBXN11	1	26282648	26306989	ENSG00000158062	protein_coding
CD52	1	26318527	26320523	ENSG00000169442	protein_coding
AIM1L	1	26321858	26354130	ENSG00000176092	protein_coding
ZNF683	1	26361633	26374522	ENSG00000176083	protein_coding
LIN28A	1	26410777	26429722	ENSG00000131914	protein_coding
DHDDS	1	26432281	26471294	ENSG00000117682	protein_coding
HMGN2	1	26472449	26475972	ENSG00000198830	protein_coding
RPS6KA1	1	26529760	26575030	ENSG00000117676	protein_coding
MIR1976	1	26554541	26554593	ENSG00000238705	miRNA
ARID1A	1	26696032	26782104	ENSG00000117713	protein_coding
PIGV	1	26787471	26798398	ENSG00000060642	protein_coding
ZDHHC18	1	26826709	26857602	ENSG00000204160	protein_coding
SFN	1	26863141	26864456	ENSG00000175793	protein_coding
GPN2	1	26876132	26890297	ENSG00000142751	protein_coding
GPATCH3	1	26890487	26897725	ENSG00000198746	protein_coding
NUDC	1	26902281	26946862	ENSG00000090273	protein_coding
NR0B2	1	26911488	26913966	ENSG00000131910	protein_coding
KDF1	1	26949561	26960406	ENSG00000175707	protein_coding
TRNP1	1	26993706	27000898	ENSG00000253368	protein_coding
FAM46B	1	27005019	27012836	ENSG00000158246	protein_coding
SLC9A1	1	27098814	27166981	ENSG00000090020	protein_coding
WDTC1	1	27234515	27308619	ENSG00000142784	protein_coding
TMEM222	1	27322159	27336400	ENSG00000186501	protein_coding
RNU6-48P	1	27325218	27325325	ENSG00000206888	snRNA
SYTL1	1	27342021	27353930	ENSG00000142765	protein_coding
MAP3K6	1	27355183	27366892	ENSG00000142733	protein_coding
FCN3	1	27369111	27374824	ENSG00000142748	protein_coding
GPR3	1	27392643	27395814	ENSG00000181773	protein_coding
WASF2	1	27404225	27490158	ENSG00000158195	protein_coding
AHDC1	1	27534034	27604431	ENSG00000126705	protein_coding
FGR	1	27612063	27635277	ENSG00000000938	protein_coding
IFI6	1	27666060	27672218	ENSG00000126709	protein_coding
STX12	1	27773182	27824452	ENSG00000117758	protein_coding
PPP1R8	1	27830777	27847092	ENSG00000117751	protein_coding
SCARNA1	1	27834400	27834566	ENSG00000252947	scaRNA
THEMIS2	1	27872543	27886685	ENSG00000130775	protein_coding
RPA2	1	27891523	27914746	ENSG00000117748	protein_coding
SMPDL3B	1	27934992	27959157	ENSG00000130768	protein_coding
XKR8	1	27959461	27968096	ENSG00000158156	protein_coding
EYA3	1	27970343	28088696	ENSG00000158161	protein_coding
PTAFR	1	28147165	28193936	ENSG00000169403	protein_coding
DNAJC8	1	28199455	28233025	ENSG00000126698	protein_coding
ATPIF1	1	28236108	28246906	ENSG00000130770	protein_coding
SESN2	1	28259526	28282491	ENSG00000130766	protein_coding
MED18	1	28329001	28335965	ENSG00000130772	protein_coding
PHACTR4	1	28369602	28500369	ENSG00000204138	protein_coding
RCC1	1	28505942	28539300	ENSG00000180198	protein_coding
SNHG3	1	28505979	28510892	ENSG00000242125	sense_intronic
TRNAU1AP	1	28553084	28578539	ENSG00000180098	protein_coding
SNHG12	1	28578537	28582983	ENSG00000197989	antisense
SNORD99	1	28578748	28578822	ENSG00000221539	snoRNA
TAF12	1	28589322	28643085	ENSG00000120656	protein_coding
RAB42	1	28592199	28595443	ENSG00000188060	protein_coding
RNU11	1	28648599	28648733	ENSG00000270103	lincRNA
GMEB1	1	28668731	28719353	ENSG00000162419	protein_coding
YTHDF2	1	28736620	28769775	ENSG00000198492	protein_coding
OPRD1	1	28812141	28863696	ENSG00000116329	protein_coding
EPB41	1	28887090	29115803	ENSG00000159023	protein_coding
TMEM200B	1	29122363	29123935	ENSG00000253304	protein_coding
SRSF4	1	29147742	29181987	ENSG00000116350	protein_coding
MECR	1	29192872	29230942	ENSG00000116353	protein_coding
PTPRU	1	29236515	29326813	ENSG00000060656	protein_coding
SNRNP40	1	31259569	31296815	ENSG00000060688	protein_coding
FABP3	1	31365624	31376850	ENSG00000121769	protein_coding
SERINC2	1	31409564	31434678	ENSG00000168528	protein_coding
LINC01226	1	31518434	31524245	ENSG00000223907	lincRNA
TINAGL1	1	31576514	31587687	ENSG00000142910	protein_coding
HCRTR1	1	31617685	31627613	ENSG00000121764	protein_coding
PEF1	1	31629861	31644896	ENSG00000162517	protein_coding
COL16A1	1	31652246	31704319	ENSG00000084636	protein_coding
MIR4254	1	31758659	31758735	ENSG00000266580	miRNA
SPOCD1	1	31790421	31816051	ENSG00000134668	protein_coding
PTP4A2	1	31906420	31944856	ENSG00000184007	protein_coding
KHDRBS1	1	32013828	32060850	ENSG00000121774	protein_coding
TMEM39B	1	32072030	32102866	ENSG00000121775	protein_coding
KPNA6	1	32108037	32176568	ENSG00000025800	protein_coding
TXLNA	1	32179685	32198285	ENSG00000084652	protein_coding
CCDC28B	1	32200385	32205387	ENSG00000160050	protein_coding
IQCC	1	32205634	32208687	ENSG00000160051	protein_coding
DCDC2B	1	32209093	32212793	ENSG00000222046	protein_coding
TMEM234	1	32217436	32221197	ENSG00000160055	protein_coding
EIF3I	1	32224033	32231604	ENSG00000084623	protein_coding
MTMR9LP	1	32231657	32241620	ENSG00000220785	transcribed_unprocessed_pseudogene
FAM167B	1	32247232	32248856	ENSG00000183615	protein_coding
LCK	1	32251238	32286165	ENSG00000182866	protein_coding
RNF19B	1	32936444	32964685	ENSG00000116514	protein_coding
AK2	1	33007983	33080996	ENSG00000004455	protein_coding
TRIM62	1	33145401	33182059	ENSG00000116525	protein_coding
ZNF362	1	33256544	33300719	ENSG00000160094	protein_coding
A3GALT2	1	33306765	33321098	ENSG00000184389	protein_coding
PHC2	1	33323622	33431052	ENSG00000134686	protein_coding
ZSCAN20	1	33472644	33496507	ENSG00000121903	protein_coding
ZMYM6NB	1	34985197	34985353	ENSG00000243749	protein_coding
ZMYM6	1	34986164	35031968	ENSG00000163867	protein_coding
ZMYM1	1	35059785	35115859	ENSG00000197056	protein_coding
SFPQ	1	35176377	35193148	ENSG00000116560	protein_coding
ZMYM4	1	35268966	35422058	ENSG00000146463	protein_coding
KIAA0319L	1	35433489	35557413	ENSG00000142687	protein_coding
NCDN	1	35558505	35567274	ENSG00000020129	protein_coding
TFAP2E	1	35573369	35595328	ENSG00000116819	protein_coding
PSMB2	1	35601583	35641844	ENSG00000126067	protein_coding
C1orf216	1	35713874	35719472	ENSG00000142686	protein_coding
CLSPN	1	35720217	35769967	ENSG00000092853	protein_coding
AGO4	1	35808171	35857890	ENSG00000134698	protein_coding
AGO1	1	35869807	35929610	ENSG00000092847	protein_coding
AGO3	1	35930717	36072500	ENSG00000126070	protein_coding
TEKT2	1	36084074	36088275	ENSG00000092850	protein_coding
ADPRHL2	1	36088874	36093932	ENSG00000116863	protein_coding
COL8A2	1	36095235	36125220	ENSG00000171812	protein_coding
TRAPPC3	1	36136571	36149497	ENSG00000054116	protein_coding
MAP7D1	1	36155578	36180849	ENSG00000116871	protein_coding
THRAP3	1	36224415	36305357	ENSG00000054118	protein_coding
SH3D21	1	36306386	36321778	ENSG00000214193	protein_coding
EVA1B	1	36322970	36323615	ENSG00000142694	protein_coding
STK40	1	36339623	36385896	ENSG00000196182	protein_coding
LSM10	1	36391237	36397892	ENSG00000181817	protein_coding
OSCP1	1	36415826	36450485	ENSG00000116885	protein_coding
MRPS15	1	36455717	36464437	ENSG00000116898	protein_coding
CSF3R	1	36466042	36483278	ENSG00000119535	protein_coding
PPIEL	1	39531837	39558707	ENSG00000243970	unprocessed_pseudogene
PABPC4	1	39560815	39576790	ENSG00000090621	protein_coding
SNORA55	1	39567373	39567508	ENSG00000201457	snoRNA
HEYL	1	39624152	39639945	ENSG00000163909	protein_coding
NT5C1A	1	39659120	39672038	ENSG00000116981	protein_coding
HPCAL4	1	39678647	39691689	ENSG00000116983	protein_coding
PPIE	1	39692181	39762651	ENSG00000084072	protein_coding
BMP8B	1	39757181	39788861	ENSG00000116985	protein_coding
OXCT2	1	39769522	39771348	ENSG00000198754	protein_coding
TRIT1	1	39841050	39883511	ENSG00000043514	protein_coding
MYCL	1	39895425	39902256	ENSG00000116990	protein_coding
MFSD2A	1	39955129	39969966	ENSG00000168389	protein_coding
CAP1	1	40040232	40072649	ENSG00000131236	protein_coding
PPT1	1	40072706	40097703	ENSG00000131238	protein_coding
RLF	1	40161372	40240921	ENSG00000117000	protein_coding
TMCO2	1	40245946	40251691	ENSG00000188800	protein_coding
ZMPSTE24	1	40258106	40294184	ENSG00000084073	protein_coding
COL9A2	1	40300486	40317294	ENSG00000049089	protein_coding
SMAP2	1	40344849	40423326	ENSG00000084070	protein_coding
ZFP69B	1	40450106	40463718	ENSG00000187801	protein_coding
ZFP69	1	40477214	40496343	ENSG00000187815	protein_coding
EXO5	1	40508740	40516556	ENSG00000164002	protein_coding
ZNF684	1	40531560	40548169	ENSG00000117010	protein_coding
GUCA2B	1	42153420	42155824	ENSG00000044012	protein_coding
RIMKLA	1	42380794	42422578	ENSG00000177181	protein_coding
ZMYND12	1	42430328	42450059	ENSG00000066185	protein_coding
PPCS	1	42456501	42460415	ENSG00000127125	protein_coding
CCDC30	1	42463329	42654664	ENSG00000186409	protein_coding
PPIH	1	42658424	42676758	ENSG00000171960	protein_coding
YBX1	1	42682426	42702349	ENSG00000065978	protein_coding
CLDN19	1	42733092	42740254	ENSG00000164007	protein_coding
C1orf50	1	42767268	42798297	ENSG00000164008	protein_coding
ERMAP	1	42824435	42844989	ENSG00000164010	protein_coding
ZNF691	1	42846608	42852477	ENSG00000164011	protein_coding
SLC2A1	1	42925380	42958859	ENSG00000117394	protein_coding
SLC2A1-AS1	1	42959048	42983358	ENSG00000227533	lincRNA
FAM183A	1	43145152	43156396	ENSG00000186973	protein_coding
EBNA1BP2	1	43164174	43270936	ENSG00000117395	protein_coding
TMEM125	1	43269993	43274002	ENSG00000179178	protein_coding
C1orf210	1	43281882	43285617	ENSG00000253313	protein_coding
TIE1	1	43300992	43323108	ENSG00000066056	protein_coding
MPL	1	43337806	43352772	ENSG00000117400	protein_coding
CDC20	1	43358954	43363203	ENSG00000117399	protein_coding
ELOVL1	1	43363396	43368025	ENSG00000066322	protein_coding
MED8	1	43383916	43389808	ENSG00000159479	protein_coding
SZT2	1	43389881	43450171	ENSG00000198198	protein_coding
HYI	1	43452902	43453989	ENSG00000178922	protein_coding
PTPRF	1	43525186	43623672	ENSG00000142949	protein_coding
KDM4A	1	43650157	43705515	ENSG00000066135	protein_coding
KDM4A-AS1	1	43699764	43708138	ENSG00000236200	antisense
ARTN	1	43933319	43937241	ENSG00000117407	protein_coding
IPO13	1	43946938	43968022	ENSG00000117408	protein_coding
DPH2	1	43969999	43973369	ENSG00000132768	protein_coding
ATP6V0B	1	43974486	43978295	ENSG00000117410	protein_coding
B4GALT2	1	43978942	43991168	ENSG00000117411	protein_coding
CCDC24	1	43991358	43995856	ENSG00000159214	protein_coding
SLC6A9	1	43997854	44031467	ENSG00000196517	protein_coding
KLF17	1	44118849	44135140	ENSG00000171872	protein_coding
DMAP1	1	44213454	44220681	ENSG00000178028	protein_coding
ERI3	1	44221069	44355260	ENSG00000117419	protein_coding
ERI3-IT1	1	44243407	44244273	ENSG00000233602	sense_intronic
RNF220	1	44405193	44651724	ENSG00000187147	protein_coding
MIR5584	1	44545492	44545552	ENSG00000263381	miRNA
TMEM53	1	44653246	44674555	ENSG00000126106	protein_coding
C1orf228	1	44674712	44725591	ENSG00000198520	protein_coding
RNU5F-1	1	44721785	44721902	ENSG00000199377	snRNA
RNU5D-1	1	44731054	44731170	ENSG00000200169	snRNA
KIF2C	1	44739817	44767767	ENSG00000142945	protein_coding
RPS8	1	44775250	44778779	ENSG00000142937	protein_coding
SNORD55	1	44775863	44775943	ENSG00000264294	snoRNA
SNORD38A	1	44777842	44777912	ENSG00000202031	snoRNA
SNORD38B	1	44778389	44778456	ENSG00000207421	snoRNA
BEST4	1	44783584	44787705	ENSG00000142959	protein_coding
PLK3	1	44800224	44805379	ENSG00000173846	protein_coding
TCTEX1D4	1	44806783	44807285	ENSG00000188396	protein_coding
BTBD19	1	44808481	44814129	ENSG00000222009	protein_coding
PTCH2	1	44819843	44843063	ENSG00000117425	protein_coding
EIF2B3	1	44850777	44986610	ENSG00000070785	protein_coding
HECTD3	1	45002539	45011329	ENSG00000126107	protein_coding
UROD	1	45012146	45015575	ENSG00000126088	protein_coding
ZSWIM5	1	45016398	45306209	ENSG00000162415	protein_coding
HPDL	1	45326872	45328675	ENSG00000186603	protein_coding
MUTYH	1	45329162	45338656	ENSG00000132781	protein_coding
TOE1	1	45341072	45343002	ENSG00000132773	protein_coding
MMACHC	1	45507355	45508364	ENSG00000132763	protein_coding
PRDX1	1	45514506	45523047	ENSG00000117450	protein_coding
AKR1A1	1	45550542	45570049	ENSG00000117448	protein_coding
NASP	1	45583845	45618894	ENSG00000132780	protein_coding
CCDC17	1	45620043	45624057	ENSG00000159588	protein_coding
GPBP1L1	1	45627303	45687146	ENSG00000159592	protein_coding
RPS15AP10	1	45645815	45646197	ENSG00000225447	processed_pseudogene
TMEM69	1	45690973	45691110	ENSG00000159596	protein_coding
IPP	1	45697058	45750650	ENSG00000197429	protein_coding
MAST2	1	45786986	46036124	ENSG00000086015	protein_coding
PIK3R3	1	46040139	46176488	ENSG00000117461	protein_coding
TSPAN1	1	46175072	46185958	ENSG00000117472	protein_coding
POMGNT1	1	46188681	46198443	ENSG00000085998	protein_coding
LURAP1	1	46203333	46203624	ENSG00000171357	protein_coding
RAD54L	1	46247687	46277980	ENSG00000085999	protein_coding
LRRC41	1	46279181	46303608	ENSG00000132128	protein_coding
UQCRH	1	46303630	46316776	ENSG00000173660	protein_coding
NSUN4	1	46340176	46365152	ENSG00000117481	protein_coding
FAAH	1	46394264	46413848	ENSG00000117480	protein_coding
DMBX1	1	46506995	46514226	ENSG00000197587	protein_coding
MKNK1-AS1	1	46538695	46570255	ENSG00000269956	antisense
KNCN	1	46547348	46551527	ENSG00000162456	protein_coding
MKNK1	1	46557417	46604294	ENSG00000079277	protein_coding
MOB3C	1	46607714	46616465	ENSG00000142961	protein_coding
ATPAF1	1	46632736	46668454	ENSG00000123472	protein_coding
TEX38	1	46668854	46671971	ENSG00000186118	protein_coding
EFCAB14-AS1	1	46674035	46692098	ENSG00000228237	antisense
EFCAB14	1	46675158	46719152	ENSG00000159658	protein_coding
CYP4B1	1	46757837	46819413	ENSG00000142973	protein_coding
CYP4Z2P	1	46843094	46900437	ENSG00000154198	transcribed_unprocessed_pseudogene
CYP4A11	1	46929176	46941484	ENSG00000187048	protein_coding
CYP4X1	1	46961363	47050751	ENSG00000186377	protein_coding
CYP4Z1	1	47067487	47118319	ENSG00000186160	protein_coding
CYP4A22	1	47137434	47149741	ENSG00000162365	protein_coding
LINC00853	1	47179249	47180339	ENSG00000224805	antisense
PDZK1IP1	1	47183592	47191044	ENSG00000162366	protein_coding
TAL1	1	47216289	47232220	ENSG00000162367	protein_coding
STIL	1	47250138	47314147	ENSG00000123473	protein_coding
CMPK1	1	47333796	47378839	ENSG00000162368	protein_coding
FOXE3	1	47416071	47418051	ENSG00000186790	protein_coding
FOXD2-AS1	1	47432132	47434641	ENSG00000237424	antisense
FOXD2	1	47436016	47440691	ENSG00000186564	protein_coding
TRABD2B	1	47775169	47996895	ENSG00000269113	protein_coding
SLC5A9	1	48222684	48248644	ENSG00000117834	protein_coding
BEND5	1	48727522	48776969	ENSG00000162373	protein_coding
AGBL4-IT1	1	49374200	49472085	ENSG00000225623	sense_intronic
FAF1	1	50439477	50960263	ENSG00000185104	protein_coding
